手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2753,-526449.73,-524187.73,26680.455000000075,175.5,0,0,26680.455000000075,0,0.012669991776802733,,,,
1,Thu Sep 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,155,155000,220.875,132.525,0,-155132.525,1000,,,,,,,,,,,,,,,
2,Fri Jan 07 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,127,127000,180.975,108.585,0,-127108.585,2000,,除權除息區,,,,,,,,,,,,,
3,Thu Mar 03 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,124.5,124500,177.4125,106.44749999999999,0,-124606.4475,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Tue Mar 08 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,119.5,119500,170.2875,102.1725,0,-119602.1725,4000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed May 11 2022 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,137.5,275000,391.875,235.125,825,273939.875,2000,,2021,Tue Jun 29 2021 00:00:00 GMT+0800 (Taiwan Standard Time),193,,6.5,0,0.0211,186.5,0,0,0,0,0,0
6,Mon May 16 2022 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,139,278000,396.15000000000003,237.69,834,276928.31,0,,2021,Thu Dec 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),128,,2.27,0,0.0211,125.73,2270,0,2262,0,1000,0.017671875
