手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2337,-134014.4845,-134014.4845,-13979.011999999988,166.5,0,0,-13979.011999999988,0,-0.017384951649262445,,,,
1,Sun Mar 22 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,44,44000,62.7,37.62,0,-44037.62,1000,,,,,,,,,,,,,,,
2,Mon Mar 30 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,44.95,89900,128.10750000000002,76.8645,0,-89976.8645,3000,,除權除息區,,,,,,,,,,,,,
3,Sun Apr 26 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,48.5,48500,69.1125,41.467499999999994,145.5,48313.0325,2000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Tue May 12 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,36,72000,102.60000000000001,61.56,216,71722.44,0,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2020,Tue Jun 16 2020 00:00:00 GMT+0800 (Taiwan Standard Time),46.1,Wed Jul 15 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2.6,0,0.0191,43.5,0,0,0,0,0,0
