手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,1227,-568685.811,-568685.811,3101.4189999999944,27.95,0,0,3101.4189999999944,0,0.0010907319788922936,,,,
1,Wed Mar 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,56.6,113200,161.31,96.786,0,-113296.786,2000,,,,,,,,,,,,,,,
2,Thu Mar 04 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,56.2,112400,160.17000000000002,96.102,0,-112496.102,4000,,除權除息區,,,,,,,,,,,,,
3,Fri Mar 05 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,55.8,111600,159.03,95.41799999999999,0,-111695.418,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu Mar 11 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,57.7,115400,164.445,98.66699999999999,0,-115498.667,8000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Fri Mar 12 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,57.8,115600,164.73000000000002,98.83800000000001,0,-115698.838,10000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
6,Thu Mar 18 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,57.5,287500,409.6875,245.8125,862.5,286391.6875,5000,,,,,,,,,,,,,,,
7,Wed Apr 28 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,57.3,286500,408.2625,244.95749999999998,859.5,285395.5425,0,,,,,,,,,,,,,,,
