手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2903,-1959974.3465,-1858445.3465,-130532.2294999999,21.8,0,0,-130532.2294999999,#DIV/0!,-0.03329947397859983,,,,
1,Fri May 17 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,32.35,64700,92.1975,55.3185,0,-64755.3185,2000,,,,,,,,,,,,,,,
2,Fri May 17 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,33,66000,94.05,56.43,0,-66056.43,4000,,除權除息區,,,,,,,,,,,,,
3,Thu May 23 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,31.85,63700,90.77250000000001,54.4635,0,-63754.4635,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Jun 03 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,31.5,63000,89.775,53.865,0,-63053.865,8000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Tue Jun 25 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,35.25,141000,200.925,120.555,423,140456.445,4000,,2024,Tue Jul 16 2024 00:00:00 GMT+0800 (Taiwan Standard Time),32.85,Tue Aug 06 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1.6,0,0.0211,31.25,6400,0,6390,0,4000,0.04863013698630137
6,Fri Nov 22 2024 00:00:00 GMT+0800 (Taiwan Standard Time),20000,買,25.4,508000,723.9,434.34,0,-508434.34,24000,,2025,Tue Jun 24 2025 00:00:00 GMT+0800 (Taiwan Standard Time),22.25,Mon Jul 22 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1.35,0,0.0211,20.9,97200,2051,95139,0,72000,0.0593876404494382
7,Tue Nov 26 2024 00:00:00 GMT+0800 (Taiwan Standard Time),10000,買,25.4,254000,361.95,217.17,0,-254217.17,34000,,2026,,,,1.25,0,0.0211,-1.25,0,0,0,0,#N/A,#N/A
8,Thu Nov 28 2024 00:00:00 GMT+0800 (Taiwan Standard Time),14000,買,24.95,349300,497.7525,298.6515,0,-349598.6515,48000,,,,,,,,,,,,,,,
9,Mon Dec 02 2024 00:00:00 GMT+0800 (Taiwan Standard Time),16000,買,25,400000,570,342,0,-400342,64000,,,,,,,,,,,,,,,
10,Tue Dec 17 2024 00:00:00 GMT+0800 (Taiwan Standard Time),8000,買,23.7,189600,270.18,162.108,0,-189762.108,72000,,,,,,,,,,,,,,,
11,Mon Apr 27 2026 00:00:00 GMT+0800 (Taiwan Standard Time),-60000,賣,22.1,1326000,1889.55,1133.73,3978,1320888.27,12000,,,,,,,,,,,,,,,
12,Mon May 04 2026 00:00:00 GMT+0800 (Taiwan Standard Time),-12000,賣,22.3,267600,381.33000000000004,228.79800000000003,802.8000000000001,266568.402,0,,,,,,,,,,,,,,,
