手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2530,-145123.975,-145123.975,-2426.203750000015,18.7,0,0,-2426.203750000015,0,-0.0033436291281299527,,,,
1,Tue Mar 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),10000,買,14.5,145000,206.625,123.975,0,-145123.975,10000,,,,,,,,,,,,,,,
2,Thu Apr 08 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,14.3,71500,101.8875,61.1325,214.5,71224.3675,5000,,除權除息區,,,,,,,,,,,,,
3,Fri Apr 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,14.35,71750,102.24375,61.34625,215.25,71473.40375,0,,手動輸入區,,,,,,,自動代入區,,,,,,
,,,,,,,,,,,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
