手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,1785,-165241.1605,-165241.1605,13566.866999999998,#N/A,0,#N/A,#N/A,0,#N/A,,,,
1,Fri Apr 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,58.1,58100,82.7925,49.6755,0,-58149.6755,1000,,,,,,,,,,,,,,,
2,Wed Apr 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,54,54000,76.95,46.17,0,-54046.17,2000,,除權除息區,,,,,,,,,,,,,
3,Fri Apr 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,53,53000,75.525,45.315000000000005,0,-53045.315,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Apr 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,59.5,59500,84.78750000000001,50.8725,178.5,59270.6275,2000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Mon Apr 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,59.9,59900,85.3575,51.2145,179.70000000000002,59669.0855,1000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),,,,,0.0211,0,0,0,0,0,0,0
6,Mon Apr 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,60.1,60100,85.6425,51.3855,180.3,59868.3145,0,,,,,,,,,,,,,,,
