手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2609,-684937.036,-684937.036,-16623.355499999947,52.7,0,0,-16623.355499999947,0,-0.004853980621950175,,,,
1,Wed Feb 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,21.15,21150,30.13875,20,0,-21170,1000,,,,,,,,,,,,,,,
2,Fri Feb 05 2021 00:00:00 GMT+0800 (Taiwan Standard Time),4000,買,21.55,86200,122.83500000000001,73.70100000000001,0,-86273.701,5000,,除權除息區,,,,,,,,,,,,,
3,Fri Feb 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,28,56000,79.8,47.879999999999995,168,55784.12,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Fri Feb 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,28.05,56100,79.94250000000001,47.965500000000006,168.3,55883.7345,1000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed Mar 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,27,27000,38.475,23.085,81,26895.915,0,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
6,Fri Apr 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,59.5,119000,169.57500000000002,101.745,0,-119101.745,2000,,,,,,,,,,,,,,,
7,Fri Apr 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,56.2,112400,160.17000000000002,96.102,337.2,111966.698,0,,,,,,,,,,,,,,,
8,Fri May 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,81,162000,230.85,138.51,0,-162138.51,2000,,,,,,,,,,,,,,,
9,Fri May 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,75.5,151000,215.175,129.105,0,-151129.105,4000,,,,,,,,,,,,,,,
10,Fri May 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,72.5,145000,206.625,123.975,0,-145123.975,6000,,,,,,,,,,,,,,,
11,Mon May 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,69.9,209700.00000000003,298.82250000000005,179.29350000000002,629.1000000000001,208891.60650000002,3000,,,,,,,,,,,,,,,
12,Mon May 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,69.9,209700.00000000003,298.82250000000005,179.29350000000002,629.1000000000001,208891.60650000002,0,,,,,,,,,,,,,,,
