手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,4938,-366413.0155,-366413.0155,5547.527499999967,88.5,0,0,5547.527499999967,0,0.003028018801368134,,,,
1,Tue Mar 30 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,73.5,73500,104.7375,62.842499999999994,0,-73562.8425,1000,,,,,,,,,,,,,,,
2,Thu Apr 01 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,73.5,147000,209.475,125.68499999999999,0,-147125.685,3000,,除權除息區,,,,,,,,,,,,,
3,Wed Apr 07 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,72.8,145600,207.48000000000002,124.488,0,-145724.488,5000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu Apr 22 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,75,225000,320.625,192.375,675,224132.625,2000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Fri Apr 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,74.2,148400,211.47,126.88199999999999,445.2,147827.91799999998,0,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
