手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,3444,-224842.07575,-224842.07575,-54551.08799999999,#N/A,0,#N/A,#N/A,0,#N/A,,,,
1,Wed Apr 07 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,48.45,48450,69.04125,41.42475,0,-48491.42475,1000,,,,,,,,,,,,,,,
2,Tue Apr 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,45.55,45550,64.90875,38.945249999999994,0,-45588.94525,2000,,除權除息區,,,,,,,,,,,,,
3,Wed Apr 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,43.35,43350,61.77375,37.06425,0,-43387.06425,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Apr 19 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,43.65,87300,124.4025,74.6415,0,-87374.6415,5000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed May 12 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,34,136000,193.8,116.28,408,135475.72,1000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
6,Thu May 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,34.95,34950,49.80375,29.88225,104.85000000000001,34815.26775,0,,,,,,,,,,,,,,,
