手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,1732,-218186.39,-218186.39,5946.234999999986,26.35,0,0,5946.234999999986,0,0.0054506012038605944,,,,
1,Tue May 18 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,47.5,95000,135.375,81.225,0,-95081.225,2000,,,,,,,,,,,,,,,
2,Fri May 21 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,42,84000,119.7,71.82,0,-84071.82,4000,,除權除息區,,,,,,,,,,,,,
3,Wed May 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,39,39000,55.575,33.345,0,-39033.345,5000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Tue Jun 08 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,45,225000,320.625,192.375,675,224132.625,0,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),,,,,0.0211,0,0,0,0,0,0,0
