手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,00875,-120743.1472,-120743.1472,4104.829399999988,46.82,0,0,4104.829399999988,0,0.00679927514760024,,,,
1,Fri Mar 12 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,30.91,30910,44.04675,26.428050000000002,0,-30936.42805,1000,,,,,,,,,,,,,,,
2,Mon Mar 29 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,29.91,89730,127.86525,76.71915,0,-89806.71915,4000,,除權除息區,,,,,,,,,,,,,
3,Fri Apr 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,31.27,125080,178.239,106.9434,125.08,124847.9766,0,,手動輸入區,,,,,,,自動代入區,,,,,,
,,,,,,,,,,,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
