手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,6505,-180554.24200000003,-180554.24200000003,9410.609499999962,51.4,0,0,9410.609499999962,0,0.010424135590234387,,,,
1,Wed Jul 15 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,84,84000,119.7,71.82,0,-84071.82,1000,,,,,,,,,,,,,,,
2,Wed Nov 18 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,93.1,93100,132.66750000000002,79.60050000000001,279.3,92741.0995,0,,除權除息區,,,,,,,,,,,,,
3,Tue Mar 30 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,96.4,96400,137.37,82.422,0,-96482.422,1000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Wed Apr 07 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,97.6,97600,139.08,83.44800000000001,292.8,97223.752,0,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),,,0,0,0.0211,0,0,0,0,0,0,0
