手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2103,-429767.137,-418017.137,-11789.206000000006,19.05,0,0,-11789.206000000006,0,-0.00391880192950697,,,,
1,Thu May 09 2019 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,28.55,142750,203.41875000000002,122.05125000000001,0,-142872.05125,5000,,,,,,,,,,,,,,,
2,Tue May 14 2019 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,26.55,132750,189.16875000000002,113.50125000000001,0,-132863.50125,10000,,除權除息區,,,,,,,,,,,,,
3,Wed Aug 07 2019 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,25.55,51100,72.81750000000001,43.69050000000001,0,-51143.6905,12000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Tue Nov 05 2019 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,24.65,98600,140.505,84.303,295.8,98219.897,8000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed Nov 27 2019 00:00:00 GMT+0800 (Taiwan Standard Time),-8000,賣,24.95,199600,284.43,170.658,598.8000000000001,198830.54200000002,0,,2019,Fri Aug 30 2019 00:00:00 GMT+0800 (Taiwan Standard Time),24.95,Wed Sep 25 2019 00:00:00 GMT+0800 (Taiwan Standard Time),0.98,0,0.0191,23.97,11760,0,11750,0,12000,0.03924515698062792
6,Fri Apr 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,31.9,31900,45.4575,27.2745,0,-31927.2745,1000,,,,,,,,,,,,,,,
7,Tue Apr 20 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,34,34000,48.45,29.07,102,33868.93,0,,,,,,,,,,,,,,,
8,Wed Apr 28 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,35.45,70900,101.0325,60.619499999999995,0,-70960.6195,2000,,,,,,,,,,,,,,,
9,Mon May 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,37.8,75600,107.73,64.638,226.8,75308.56199999999,0,,,,,,,,,,,,,,,
