手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,3704,-503580.19325,-503580.19325,-1523.113250000053,46.35,0,0,-1523.113250000053,0,-0.0006049138827999578,,,,
1,Thu Mar 04 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,37.2,37200,53.010000000000005,31.806,0,-37231.806,1000,,,,,,,,,,,,,,,
2,Fri Mar 05 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,35.6,71200,101.46000000000001,60.876000000000005,0,-71260.876,3000,,除權除息區,,,,,,,,,,,,,
3,Tue Mar 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,35,35000,49.875,29.924999999999997,105,34865.075,2000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Fri Mar 12 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,35.8,179000,255.07500000000002,153.04500000000002,0,-179153.045,7000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Fri Mar 12 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,35.5,177500,252.9375,151.7625,0,-177651.7625,12000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
6,Mon Mar 15 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,36,180000,256.5,153.9,540,179306.1,7000,,,,,,,,,,,,,,,
7,Tue Mar 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,35.5,177500,252.9375,151.7625,532.5,176815.7375,2000,,,,,,,,,,,,,,,
8,Wed Mar 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,35.5,71000,101.175,60.705,213,70726.295,0,,,,,,,,,,,,,,,
9,Tue Apr 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,38.25,38250,54.50625,32.70375,0,-38282.70375,1000,,,,,,,,,,,,,,,
10,Fri Apr 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,40.5,40500,57.7125,34.6275,121.5,40343.8725,0,,,,,,,,,,,,,,,
