手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,00881,-177101.29225,-177101.29225,-355.4910000000091,54.9,0,0,-355.4910000000091,0,-0.0004014550040642169,,,,
1,Fri Feb 05 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,17.59,87950,125.32875,75.19725,0,-88025.19725,5000,,,,,,,,,,,,,,,
2,Tue Feb 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,17.91,89550,127.60875,76.56524999999999,89.55,89383.88475,0,,除權除息區,,,,,,,,,,,,,
3,Wed Mar 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,17.8,89000,126.825,76.095,0,-89076.095,5000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Wed Apr 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,17.54,87700,124.97250000000001,74.9835,263.1,87361.91649999999,0,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),,,0,0,0.0211,0,0,0,0,0,0,0
