手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2002,-246810.843,-233230.843,8433.934000000008,19.1,0,0,8433.934000000008,0,0.006834330208093822,,,,
1,Thu May 20 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,36,72000,102.60000000000001,61.56,0,-72061.56,2000,,,,,,,,,,,,,,,
2,Thu May 20 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,35,70000,99.75,59.849999999999994,0,-70059.85,4000,,除權除息區,,,,,,,,,,,,,
3,Fri May 21 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,35,70000,99.75,59.849999999999994,0,-70059.85,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Tue May 25 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,34.6,34600,49.305,29.583,0,-34629.583,7000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed Jun 30 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,39.2,117600.00000000001,167.58000000000004,100.54800000000002,352.80000000000007,117146.65200000002,4000,,2021,Tue Aug 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),37.5,Fri Sep 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0.3,0,0.0211,37.2,1200,0,1190,0,4000,0.007933333333333334
6,Fri Mar 31 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,31.25,125000,178.125,106.875,375,124518.125,0,,2022,Tue Jul 26 2022 00:00:00 GMT+0800 (Taiwan Standard Time),31.3,Fri Aug 26 2022 00:00:00 GMT+0800 (Taiwan Standard Time),3.1,0,0.0211,28.2,12400,0,12390,0,4000,0.09896166134185304
