手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2303,-283542.2215,-283542.2215,10669.20425000001,144.5,0,0,10669.20425000001,0,0.006271378911141581,,,,
1,Mon Mar 16 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,48.5,97000,138.225,82.93499999999999,0,-97082.935,2000,,,,,,,,,,,,,,,
2,Mon Mar 16 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,48,48000,68.4,41.04,0,-48041.04,3000,,除權除息區,,,,,,,,,,,,,
3,Thu Mar 19 2020 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,46.1,138300,197.07750000000001,118.2465,0,-138418.2465,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Wed Mar 25 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,48.65,145950,207.97875000000002,124.78725,437.85,145387.36275,3000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Thu Mar 26 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,49.8,149400,212.895,127.737,448.2,148824.063,0,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),,,,0,0.0211,0,0,0,0,0,0,0
