手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,4142,-627035.6575000002,-622545.6575000002,-162824.74000000022,17.15,0,0,-162824.74000000022,0,-0.05193476257767691,,,,
1,Thu May 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,62.4,62400,88.92,53.352,0,-62453.352,1000,,,,,,,,,,,,,,,
2,Mon May 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,62.7,125400,178.695,107.217,0,-125507.217,3000,,除權除息區,,,,,,,,,,,,,
3,Mon May 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,62.7,188100,268.0425,160.8255,0,-188260.8255,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Wed May 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,54.5,54500,77.66250000000001,46.597500000000004,0,-54546.5975,7000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed May 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,54.5,54500,77.66250000000001,46.597500000000004,0,-54546.5975,8000,,2021,Tue Sep 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),51.6,Wed Oct 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0.5,0,0.0211,51.1,4500,0,4490,0,9000,0.00966838931955211
6,Wed May 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,54.5,54500,77.66250000000001,46.597500000000004,0,-54546.5975,9000,,,,,,,,,,,,,,,
7,Mon Feb 14 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,43.55,87100,124.1175,74.4705,0,-87174.4705,11000,,,,,,,,,,,,,,,
8,Tue Jun 28 2022 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,41,82000,116.85000000000001,70.11,246,81683.89,9000,,,,,,,,,,,,,,,
9,Sat Feb 04 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,42,126000,179.55,107.73,378,125514.27,6000,,,,,,,,,,,,,,,
10,Fri Mar 10 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,45,135000,192.375,115.425,405,134479.575,3000,,,,,,,,,,,,,,,
11,Fri Mar 31 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,39.5,118500,168.8625,101.31750000000001,355.5,118043.1825,0,,,,,,,,,,,,,,,
