手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2603,-265626.917,-265626.917,136616.434,213,0,0,136616.434,0,0.10286339618209701,,,,
1,Wed Feb 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,34.5,34500,49.1625,29.4975,0,-34529.4975,1000,,,,,,,,,,,,,,,
2,Thu Feb 25 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,37.8,37800,53.865,32.319,113.4,37654.280999999995,0,,除權除息區,,,,,,,,,,,,,
3,Thu May 20 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,76,152000,216.6,129.95999999999998,0,-152129.96,2000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Tue May 25 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,78.9,78900,112.4325,67.4595,0,-78967.4595,3000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed Jun 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,119,238000,339.15000000000003,203.49,714,237082.51,1000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
6,Tue Jun 15 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,128,128000,182.4,109.44,384,127506.56,0,,,,,,,,,,,,,,,
