手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,1309,-93379.7715,-93379.7715,2648.6064999999944,15.7,0,0,2648.6064999999944,0,0.005672762863850002,,,,
1,Tue Apr 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,48,48000,68.4,41.04,0,-48041.04,1000,,,,,,,,,,,,,,,
2,Wed Apr 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,45.3,45300,64.55250000000001,38.731500000000004,0,-45338.7315,2000,,除權除息區,,,,,,,,,,,,,
3,Fri Apr 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,48.2,96400,137.37,82.422,289.2,96028.378,0,,手動輸入區,,,,,,,自動代入區,,,,,,
,,,,,,,,,,,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
,,,,,,,,,,,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
