手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,6116,-627044.24325,-591727.24325,-154718.43175000005,17.1,0,0,-154718.43175000005,#DIV/0!,-0.049348489653006644,,,,
1,Fri May 21 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,19,95000,135.375,81.225,0,-95081.225,5000,,,,,,,,,,,,,,,
2,Tue May 25 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,20.55,102750,146.41875000000002,87.85125000000001,308.25,102353.89875,0,,除權除息區,,,,,,,,,,,,,
3,Wed Jun 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,23.5,117500,167.4375,100.46249999999999,0,-117600.4625,5000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Wed Jun 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,22.4,112000,159.6,95.75999999999999,0,-112095.76,10000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Thu Jun 10 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,21.9,109500,156.0375,93.62249999999999,0,-109593.6225,15000,,2021,Mon Aug 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),17.35,Mon Sep 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0.5,0,0.0211,16.85,10000,0,9990,0,20000,0.028789625360230546
6,Wed Jun 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,20.75,103750,147.84375,88.70625,0,-103838.70625,20000,,2022,Thu Jun 16 2022 00:00:00 GMT+0800 (Taiwan Standard Time),13.05,Wed Jul 13 2022 00:00:00 GMT+0800 (Taiwan Standard Time),0.9955,0,0.0211,12.05,25883,546,25327,0,26000,0.07464485705865016
7,Wed Sep 22 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,14.6,29200,41.61,24.965999999999998,0,-29224.966,22000,,,,,,,,,,,,,,,
8,Tue Sep 28 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,15.4,46200,65.83500000000001,39.501000000000005,0,-46239.501,25000,,,,,,,,,,,,,,,
9,Mon Oct 18 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,13.35,13350,20,20,0,-13370,26000,,,,,,,,,,,,,,,
10,Mon May 29 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,12.4,62000,88.35000000000001,53.010000000000005,186,61760.99,21000,,,,,,,,,,,,,,,
11,Mon Jun 05 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-10000,賣,12.6,126000,179.55,107.73,378,125514.27,11000,,,,,,,,,,,,,,,
12,Tue Jun 06 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-11000,賣,13.45,147950,210.82875,126.49725000000001,443.85,147379.65275,0,,,,,,,,,,,,,,,
